"date","date2","Overall UK ONS CPIH","Overall UK Micro CPI","London","South East","South West","East of England","East Midlands","West Midlands","Yorkshire and the Humber","North West","North East","Wales","Scotland","Northern Ireland"
199704,1997-04-01,2.1,1.45450493426951,1.54579573777547,1.35186979036468,1.09105597635752,2.0351094838486,1.00806719512585,1.89605768064283,1.63901152528034,1.4046922143278,1.45649963868841,1.2728478983788,1.89127813263652,0.805416699544903
199705,1997-05-01,2.1,1.55185612953017,1.56050494506472,1.32495585545134,1.28404956567192,1.94780631538634,1.21172047607041,2.21511982931577,1.96693152197274,1.59397678993078,1.5542957562338,1.45918284169508,1.9043020950009,0.486532882945889
199706,1997-06-01,2.1,1.55793584807331,1.70960184613915,1.5474722715286,1.23020244195378,1.86435495552069,1.40653984949057,2.13160264581516,1.86845542547494,1.5339865531619,1.4732396497698,1.29455872676163,1.88506103399777,0.663282903661089
199707,1997-07-01,2.4,1.74484127196577,1.98827565928883,1.75792969031139,1.6141289587652,2.19342936243478,1.56363490711897,2.35669745596727,1.93170630866202,1.6345464123533,1.48096944549105,1.64332951952793,1.94380188292729,1.28692567690127
199708,1997-08-01,2.3,1.93573147965422,2.03228461733089,1.96648370435224,1.75690237699269,2.3449282514002,1.63651548991546,2.55238797045985,2.20986586995917,1.7565992648032,1.59625940702091,1.60809756277589,2.27855244448227,1.72208210290454
199709,1997-09-01,2.2,1.85847235245102,1.901120987792,1.86260701210823,1.73701187493303,2.09201680661715,1.47059061661832,2.52022958251765,2.07073875390458,1.7627792584336,1.82596686632386,1.46518708571235,2.11472228098473,1.57596103852333
199710,1997-10-01,2.2,1.84247909994679,1.85455932689267,1.72630939512517,1.76187023036805,2.23594475715339,1.6742108455045,2.59160620626995,2.10759129962825,1.75211299229125,1.65244404145206,1.73960901328198,2.02284571514533,1.46823240451925
199711,1997-11-01,2.1,1.80363002911741,1.75192260337038,1.82902347889642,1.61422176336743,2.20282548597333,1.578958703058,2.32135000186671,2.02331559194198,1.67165651325558,1.70460833406776,1.49597389191642,2.07304304292462,1.27800250334917
199712,1997-12-01,1.9,1.52204070683353,1.45798134404389,1.57855573238628,1.37051454852843,1.65722898280534,1.29511849540529,1.9035915178663,1.71073052027497,1.43291296645882,1.45680012785943,1.2605768528499,2.01108957519271,0.908754173528536
199801,1998-01-01,1.8,1.19115472919773,1.19679057528204,1.24037674092889,1.22049129687534,1.31122749828667,0.882563841461415,1.56528987045743,1.25004737311736,1.16156898262183,0.896175401326382,0.91465733463254,1.40321709488087,0.913201117206386
199802,1998-02-01,1.8,1.58744446283048,1.46479975564646,1.70156007688931,1.88557550154247,1.26647530350723,1.31211582390631,1.50483596601771,1.83800720196183,1.3942110504531,1.30566364198379,1.48075123702789,1.54416542451885,1.60170643193229
199803,1998-03-01,1.9,1.65899745729816,1.56931244402221,1.67824119503266,1.74270482838261,1.44241826294802,1.53959040458602,1.50791259642287,1.82152190947715,1.44984588112329,1.45386275385684,1.4814713059,1.71299004529408,1.83609121158435
199804,1998-04-01,2.1,1.95470931358497,2.03720966786827,2.0693788327689,2.07868034373631,1.75972114197289,1.8467169648714,1.83933966935883,2.07585935095809,1.84135823785678,1.72403125360869,1.72479258253391,1.84227451484817,2.12666267231354
199805,1998-05-01,2.2,2.17282013746063,2.14683373757052,2.38334481126448,2.10449312446972,1.99242412227272,2.3943429105256,1.86355848920916,2.07661744273604,2.02906261489471,2.06434197905603,1.88264319899238,2.09801793777586,2.48811556854656
